,wavelength_micron,orientation_av_emissivity_bulk
0,0.18836515673088533,0.006628493946976391
1,0.18837457027883955,0.0066283414236758525
2,0.1883839847677249,0.006628188935982958
3,0.18839340019768233,0.006628036483889628
4,0.18840281656885305,0.006627884067387733
5,0.18841223388137818,0.006627731686469163
6,0.18842165213539888,0.00662757934112581
7,0.1884310713310563,0.006627427031349574
8,0.18844049146849157,0.006627274757132345
9,0.18844991254784624,0.0066271225184660575
10,0.18845933456926145,0.006626970315342581
11,0.18846875753287848,0.0066268181477538626
12,0.18847818143883865,0.006626666015691808
13,0.1884876062872834,0.0066265139191483
14,0.18849703207835405,0.00662636185811531
15,0.18850645881219208,0.006626209832584714
16,0.18851588648893888,0.006626057842548478
17,0.188525315108736,0.006625905887998515
18,0.18853474467172485,0.006625753968926774
19,0.188544175178047,0.006625602085325158
20,0.1885536066278441,0.006625450237185648
21,0.18856303902125765,0.006625298424500154
22,0.1885724723584293,0.00662514664726064
23,0.18858190663950053,0.006624994905459066
24,0.18859134186461332,0.0066248431990873855
25,0.18860077803390926,0.006624691528137516
26,0.1886102151475301,0.0066245398926014585
27,0.18861965320561752,0.006624388292471162
28,0.18862909220831336,0.0066242367277385954
29,0.18863853215575946,0.006624085198395716
30,0.1886479730480976,0.00662393370443452
31,0.1886574148854697,0.00662378224584698
32,0.1886668576680177,0.006623630822625062
33,0.18867630139588346,0.00662347943476076
34,0.18868574606920896,0.006623328082246039
35,0.18869519168813623,0.006623176765072927
36,0.18870463825280703,0.006623025483233363
37,0.1887140857633641,0.0066228742367194
38,0.18872353421994859,0.006622723025523015
39,0.18873298362270327,0.006622571849636197
40,0.1887424339717701,0.006622420709050978
41,0.18875188526729117,0.006622269603759334
42,0.1887613375094087,0.006622118533753291
43,0.18877079069826497,0.006621967499024882
44,0.1887802448340021,0.006621816499566099
45,0.18878969991676245,0.0066216655353690005
46,0.1887991559466883,0.006621514606425545
47,0.188808612923922,0.0066213637127278315
48,0.18881807084860588,0.006621212854267882
49,0.18882752972088235,0.006621062031037703
50,0.18883698954089384,0.006620911243029328
51,0.18884645030878253,0.0066207604902348335
52,0.18885591202469135,0.006620609772646221
53,0.1888653746887626,0.0066204590902555725
54,0.18887483830113883,0.00662030844305493
55,0.1888843028619625,0.006620157831036354
56,0.1888937683713763,0.006620007254191886
57,0.1889032348295228,0.006619856712513587
58,0.1889127022365447,0.0066197062059935394
59,0.18892217059258457,0.0066195557346237915
60,0.18893163989778522,0.006619405298396432
61,0.18894111015228934,0.006619254897303521
62,0.18895058135623966,0.006619104531337135
63,0.188960053509779,0.006618954200489354
64,0.18896952661305016,0.006618803904752278
65,0.18897900066619583,0.006618653644117973
66,0.1889884756693594,0.006618503418578543
67,0.18899795162268307,0.006618353228126062
68,0.18900742852631028,0.006618203072752658
69,0.18901690638038385,0.006618052952450392
70,0.18902638518504677,0.00661790286721139
71,0.18903586494044203,0.0066177528170277625
72,0.18904534564671266,0.00661760280189159
73,0.1890548273040018,0.006617452821795008
74,0.1890643099124525,0.006617302876730147
75,0.1890737934722079,0.006617152966689081
76,0.18908327798341112,0.006617003091663968
77,0.18909276344620546,0.006616853251646919
78,0.18910224986073407,0.006616703446630056
79,0.1891117372271402,0.0066165536766055345
80,0.18912122554556693,0.006616403941565468
81,0.18913071481615792,0.006616254241502002
82,0.18914020503905637,0.006616104576407268
83,0.18914969621440564,0.00661595494627341
84,0.1891591883423491,0.006615805351092602
85,0.18916868142303014,0.006615655790856946
86,0.18917817545659227,0.006615506265558628
87,0.1891876704431789,0.006615356775189807
88,0.18919716638293357,0.006615207319742637
89,0.18920666327599983,0.00661505789920928
90,0.18921616112252124,0.006614908513581885
91,0.1892256599226414,0.006614759162852675
92,0.1892351596765039,0.006614609847013755
93,0.1892446603842524,0.006614460566057339
94,0.18925416204603054,0.006614311319975599
95,0.1892636646619819,0.006614162108760703
96,0.18927316823225063,0.00661401293240488
97,0.1892826727569802,0.006613863790900254
98,0.18929217823631447,0.0066137146842390766
99,0.1893016846703973,0.006613565612413501
100,0.18931119205937244,0.00661341657541574
101,0.1893207004033838,0.006613267573237968
102,0.18933020970257536,0.0066131186058724575
103,0.189339719957091,0.006612969673311358
104,0.18934923116707472,0.006612820775546879
105,0.1893587433326705,0.006612671912571285
106,0.18936825645402236,0.006612523084376742
107,0.18937777053127433,0.006612374290955477
108,0.18938728556457052,0.006612225532299727
109,0.18939680155405508,0.006612076808401711
110,0.1894063184998719,0.006611928119253662
111,0.18941583640216564,0.006611779464847804
112,0.18942535526108015,0.006611630845176402
113,0.18943487507675974,0.006611482260231649
114,0.1894443958493487,0.00661133371000582
115,0.18945391757899127,0.006611185194491139
116,0.18946344026583176,0.006611036713679871
117,0.18947296391001456,0.006610888267564269
118,0.189482488511684,0.006610739856136558
119,0.18949201407098448,0.0066105914793890205
120,0.18950154058806049,0.00661044313731392
121,0.1895110680630564,0.006610294829903524
122,0.1895205964961168,0.00661014655715007
123,0.18953012588738613,0.006609998319045834
124,0.1895396562370088,0.006609850115583134
125,0.1895491875451297,0.006609701946754183
126,0.18955871981189334,0.006609553812551312
127,0.1895682530374443,0.006609405712966766
128,0.18957778722192725,0.0066092576479928455
129,0.18958732236548687,0.006609109617621845
130,0.18959685846826788,0.00660896162184605
131,0.18960639553041508,0.006608813660657759
132,0.18961593355207323,0.006608665734049267
133,0.18962547253338707,0.006608517842012869
134,0.18963501247450154,0.006608369984540875
135,0.18964455337556146,0.006608222161625597
136,0.18965409523671176,0.006608074373259321
137,0.18966363805809713,0.006607926619434405
